Id,Name,Description,Category,Price
219fa60a-5e54-489e-a22d-c7e9479460ba,Chocolate - Chips Compound,at velit eu est congue elementum in hac habitasse platea dictumst morbi,,$0.33 
6e087855-0700-4d5a-879c-6a417b7055f8,Eel Fresh,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh,,$2.72 
22b675cb-ab92-40cf-91c7-e4c77950ee98,"Wine - Red, Antinori Santa",velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat,,$8.74 
0c233777-cac6-47f1-9185-84aaec1fda28,Carbonated Water - White Grape,ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec,,$1.25 
1a5df02c-fbcc-4054-a21d-9575647af7a4,"Chocolate - Pistoles, White",nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium,,$1.19 
406c0215-0c0d-4967-a475-8ee34ed01efb,Beef - Flank Steak,odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt,,$1.61 
f394a52e-77ed-44c9-8929-59290e24f9e3,Cheese - Asiago,hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id,,$7.15 
06b2b400-494b-4fa3-a02b-c982f29acf03,Fuji Apples,felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod,,$2.96 
be877275-8f5c-452b-9d4f-bd868ce16e16,"Bread - Dark Rye, Loaf",varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit,,$8.21 
6992737b-e554-4169-9736-f3020afd67a5,Thyme - Dried,pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis,,$0.22 
0bf84fd9-a2af-4b7d-a2f7-1e755595e1c5,Watercress,felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed,,$0.00 
f2e11b9b-b88c-461e-ace5-55b37b884ef2,"Wine - White, Riesling, Semi - Dry",et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus,,$9.82 
2aefe584-e547-4593-bb3e-04fd49d2e551,Wine - Pinot Noir Stoneleigh,volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla,,$0.39 
8aa248dd-f2c8-4dcc-ba07-3c28af91843f,"Crab - Dungeness, Whole",habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla,,$7.78 
40b51e08-9fe4-4b00-9a2e-283b0a5462bd,Eggplant - Regular,integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor,,$2.21 
65820418-0e7b-41f8-b9f5-a741f59a9a04,Peach - Halves,quam pede lobortis ligula sit amet eleifend pede libero quis,,$9.05 
d4c8f651-f0fb-467f-9c53-97d61af44651,Milk - 1%,ut suscipit a feugiat et eros vestibulum ac est lacinia,,$4.16 
17c0945d-fe2c-4f86-a760-96e2aba0e844,Island Oasis - Raspberry,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus,,$5.52 
6112578f-5b64-438b-b931-b2ecbc59dfa6,Cheese - Perron Cheddar,erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum,,$7.32 
162c0823-fb12-4ec3-95dc-5db06b716b3e,"Beef - Ground, Extra Lean, Fresh",imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat,,$0.39 
